facility_id,name,operator,facility_category,landuse,industrial,man_made,power,building,source,longitude,latitude,total_events,active_days,avg_events_per_month,median_events_per_month,active_months,events_per_30_days,mean_frp_mw,median_frp_mw,max_frp_mw,min_frp_mw,mean_thermal_intensity,max_thermal_intensity,most_active_hour,most_active_month,day_events,night_events,weekday_events,weekend_events,mean_distance_km,median_distance_km,max_distance_km,mean_spatial_extent_km,max_spatial_extent_km,mean_duration_hours,median_duration_hours,max_duration_hours,mean_detection_count,median_detection_count,max_detection_count,mean_satellite_count,max_satellite_count,historical_event_observations
925843351,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.592169,21.283841,1,1,1.0,1.0,1,0.0821917808219178,1.76,1.76,1.76,1.76,17.6,17.6,8,2026-06,1,0,1,0,0.9567307,0.9567307,0.9567307,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
925843353,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.589087,21.288614,2,2,1.0,1.0,2,0.1643835616438356,2.965,2.965,3.97,1.96,29.65,39.7,8,2026-02,2,0,1,1,0.807465635,0.807465635,1.1238191,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
925845375,,,QUARRY,quarry,,,,,MaxarPremium,83.602182,21.284026,2,2,2.0,2.0,1,0.1643835616438356,7.2,7.2,10.9,3.5,71.999995,108.99999,6,2026-01,2,0,1,1,2.7654593,2.7654593,2.9304497,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
925845377,,,FACTORY,industrial,brickyard,,,,MaxarPremium,83.601741,21.281827,4,4,1.3333333333333333,1.0,3,0.3287671232876712,3.6112501,3.305,8.1,2.34,26.82504575,34.8,8,2025-12,4,0,4,0,1.9213708175,2.11412135,3.0686626,0.12935236,0.51740944,0.0,0.0,0.0,1.25,1.0,2,1.0,1,4
925845378,,,FACTORY,,,kiln,,,MaxarPremium,83.601654,21.281776,2,2,2.0,2.0,1,0.1643835616438356,3.38,3.38,3.53,3.23,33.8,35.3,7,2026-01,2,0,1,1,1.72864753,1.72864753,2.4790473,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
926153511,,,FACTORY,industrial,brickyard,,,,MaxarPremium,83.580249,21.292111,5,5,1.6666666666666667,2.0,3,0.410958904109589,3.313,2.29,5.22,1.97,26.8513062,52.199997,7,2025-12,5,0,4,1,1.58218938,1.6862236,1.9871088,0.09319302,0.4659651,0.0,0.0,0.0,1.2,1.0,2,1.0,1,5
926153513,,,QUARRY,quarry,,,,,MaxarPremium,83.580738,21.292568,1,1,1.0,1.0,1,0.0821917808219178,1.88,1.88,1.88,1.88,18.8,18.8,7,2025-12,1,0,0,1,0.50253683,0.50253683,0.50253683,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
926153515,,,FACTORY,industrial,brickyard,,,,MaxarPremium,83.573255,21.305017,2,2,1.0,1.0,2,0.1643835616438356,2.89,2.89,3.34,2.44,28.899999,33.399998,7,2025-12,2,0,2,0,0.654015475,0.654015475,0.8451929,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
926153521,,,QUARRY,quarry,,,,,MaxarPremium,83.566455,21.309656,2,2,2.0,2.0,1,0.1643835616438356,3.35,3.35,3.97,2.73,33.5,39.7,7,2026-06,2,0,2,0,0.647275295,0.647275295,1.0628561,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
926153523,,,QUARRY,quarry,,,,,MaxarPremium,83.572887,21.31716,1,1,1.0,1.0,1,0.0821917808219178,1.54,1.54,1.92,1.54,14.595802,14.595802,8,2026-06,1,0,1,0,0.36936593,0.36936593,0.36936593,0.111019574,0.111019574,0.0,0.0,0.0,2.0,2.0,2,1.0,1,1
926153529,,,QUARRY,quarry,,,,,MaxarPremium,83.583599,21.31777,2,2,1.0,1.0,2,0.1643835616438356,4.4025,4.4025,7.16,3.0,24.35322,30.0,7,2025-12,2,0,1,1,1.0384194,1.0384194,1.0698199,0.26032093,0.52064186,0.0,0.0,0.0,1.5,1.5,2,1.0,1,2
926156785,,,QUARRY,quarry,,,,,MaxarPremium,83.529194,21.341883,2,2,2.0,2.0,1,0.1643835616438356,3.155,3.155,3.36,2.95,31.55,33.6,7,2025-12,2,0,2,0,0.78519607,0.78519607,0.96920127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
926156790,,,FACTORY,,,kiln,,,MaxarPremium,83.566649,21.368727,2,2,2.0,2.0,1,0.1643835616438356,4.359999999999999,4.359999999999999,5.77,2.95,43.6,57.7,7,2025-12,2,0,1,1,1.4858364000000002,1.4858364000000002,1.5897771,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,2
926158517,,,QUARRY,quarry,,,,,MaxarPremium,83.595237,21.38932,3,3,1.5,1.5,2,0.2465753424657534,4.82,5.04,6.25,3.17,48.19999933333333,62.5,7,2026-01,3,0,1,2,0.7379875413333333,1.0061263,1.1071568,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,3
926158522,,,QUARRY,quarry,,,,,MaxarPremium,83.590956,21.392262,3,3,1.5,1.5,2,0.2465753424657534,2.1733333333333333,2.6,3.01,0.91,21.733332666666666,30.1,7,2025-12,3,0,3,0,0.7958969833333334,0.7634506,0.9542808,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,3
926158523,,,QUARRY,quarry,,,,,MaxarPremium,83.582392,21.387823,1,1,1.0,1.0,1,0.0821917808219178,3.53,3.53,3.53,3.53,35.3,35.3,7,2025-12,1,0,1,0,1.1701454,1.1701454,1.1701454,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
926161851,,,QUARRY,quarry,,,,,MaxarPremium,83.637184,21.37648,1,1,1.0,1.0,1,0.0821917808219178,10.633333,10.633333,19.21,10.633333,41.901215,41.901215,7,2025-12,1,0,1,0,1.9267272,1.9267272,1.9267272,0.6613144,0.6613144,0.85,0.85,0.85,3.0,3.0,3,2.0,2,1
926161852,,,QUARRY,quarry,,,,,MaxarPremium,83.638175,21.375679,6,6,3.0,3.0,2,0.4931506849315068,3.063333333333333,2.955,4.34,1.75,27.9130685,43.4,7,2025-12,6,0,4,2,1.31544505,0.8555689500000001,2.4262834,0.065336645,0.39201987,0.0,0.0,0.0,1.1666666666666667,1.0,2,1.0,1,6
926247329,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.606911,21.402129,9,9,2.25,2.5,4,0.7397260273972602,6.158148144444444,3.56,19.61,2.48,53.89965988888889,196.1,7,2025-12,9,0,5,4,1.6454544855555555,1.8255177,2.740406,0.0756355711111111,0.5269501,0.0,0.0,0.0,1.3333333333333333,1.0,3,1.0,1,9
926247330,,,INDUSTRIAL_AREA,industrial,,,,,MaxarPremium,83.62582,21.40559,23,18,7.666666666666667,6.0,3,1.8904109589041098,4.416847839130435,4.28,8.56,1.94,37.353488434782605,80.9,7,2025-12,23,0,13,10,1.935760984347826,1.7782189,3.623067,0.1306708999999999,0.9581965,0.1826086913043478,0.0,0.85,1.391304347826087,1.0,4,1.2173913043478262,2,23
926512531,Wanganapora water treatment plant,,WASTE_PROCESSING,,,wastewater_plant,,,,74.782294,34.111406,1,1,1.0,1.0,1,0.0821917808219178,4.62,4.62,4.62,4.62,46.199997,46.199997,7,2025-11,1,0,1,0,0.66771287,0.66771287,0.66771287,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,1,1
926714205,,,WASTE_PROCESSING,,,wastewater_plant,,,,79.536348,21.114684,15,14,2.5,2.5,6,1.2328767123287672,6.830666666666668,3.62,22.01,1.17,57.64992273333333,220.1,8,2025-12,14,1,12,3,3.6802441666666663,4.1873817,4.8520756,0.0723362759999999,0.55562335,0.054444444,0.0,0.81666666,1.2,1.0,2,1.0666666666666669,2,15
