incident_id,facility_id,incident_date,facility_name,facility_type,latitude,longitude,incident_type,description,source_name,source_url,source_date
INC-2026-001,395219953,2026-06-08,Visakapatnam Steel Plant,STEEL_PLANT,17.612519,83.18633,Industrial explosion,"Severe explosion at Caster-2 of Steel Melt Shop-1 at Visakhapatnam Steel Plant, reported by the Ministry of Steel.",Ministry of Steel / PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2270473,2026-06-08
INC-2026-002,65310813,2026-04-07,Bhilai Steel Plant,STEEL_PLANT,21.188636,81.391148,Industrial fire,"Fire at Steam Turbine Generator-4 (STG-4) at Bhilai Steel Plant, confirmed by the Ministry of Steel / PIB.",Ministry of Steel / PIB,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2250182,2026-04-07
